ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Session
43,April Ponce,27,Female,Sales,6655,2021-10-22,,2,Inactive,Los Angeles,Evening
44,Cindy Nichols,64,Female,IT,2427,2014-12-19,,6,Active,New York,Night
45,Daniel Aguirre,20,Other,IT,4184,2017-10-03,,13,Active,New York,Morning
46,Dr. Monica Hanna PhD,27,Other,HR,4356,2020-10-31,,11,Inactive,New York,Night
47,Alicia Scott,47,Female,HR,7966,2019-09-03,,8,Inactive,New York,Morning
48,Jake Johnson,48,Other,IT,5848,2017-02-03,3.0,2,Active,Los Angeles,Night
49,Jamie Wood,46,Male,Sales,2773,2023-02-25,4.0,9,Active,New York,Morning
50,Valerie Guerrero,23,Male,HR,6253,2023-09-21,4.0,14,Active,Los Angeles,Night
51,Jamie Gregory,27,Other,Sales,3253,2015-12-07,,12,Active,Chicago,Morning
52,Jesse Vincent,62,Male,HR,6149,2023-09-17,,11,Inactive,Chicago,Evening
53,Steve Salinas,42,Other,Sales,6567,2022-03-26,2.0,19,Inactive,Los Angeles,Morning
54,Taylor Griffin,62,Other,Sales,5721,2019-01-07,5.0,7,Active,Chicago,Night
55,Kim Smith,63,Other,HR,4533,2023-10-11,4.0,16,Active,Los Angeles,Night
56,Jonathon Adams,40,Female,IT,8745,2020-07-29,,12,Inactive,Chicago,Night
57,Jeremy Conway,38,Other,IT,4954,2024-08-11,,12,Active,Los Angeles,Night
58,Johnathan Obrien,58,Female,Sales,3635,2021-04-09,,7,Active,New York,Night
59,Erik Moss,57,Male,Sales,4651,2018-02-07,,19,Active,Los Angeles,Night
60,Melinda Tyler,19,Other,Sales,5937,2021-04-12,5.0,9,Inactive,Los Angeles,Evening
61,Andrew Shannon,51,Other,Sales,8544,2020-02-08,,6,Active,New York,Evening
62,Carmen Taylor,33,Male,Sales,2851,2023-01-30,2.0,11,Active,Chicago,Morning
63,Joseph Anderson,57,Female,IT,3933,2023-06-02,,6,Active,Los Angeles,Night
64,Katherine Clark,39,Female,IT,2585,2023-02-17,2.0,1,Active,Los Angeles,Evening
65,Mary Miller,20,Other,Sales,3718,2019-10-19,,4,Active,Los Angeles,Morning
66,Sarah Harrell,44,Male,IT,2436,2021-01-01,,5,Inactive,Chicago,Night
67,Kelli Lopez,25,Female,HR,7637,2021-09-21,,4,Active,Los Angeles,Night
68,Denise Smith,27,Male,HR,6921,2024-10-31,2.0,3,Active,Chicago,Evening
69,Alyssa Taylor,29,Male,HR,7554,2017-10-19,,17,Active,Chicago,Night
70,Erica James,64,Female,IT,2442,2020-09-28,,14,Inactive,Los Angeles,Morning
71,Daniel Hamilton,40,Male,Sales,2466,2018-04-08,,15,Active,Chicago,Evening
72,Tiffany Alexander,45,Female,Sales,3897,2019-05-18,4.0,12,Active,Chicago,Evening
73,Jennifer Carter,52,Male,HR,8386,2016-04-06,,14,Active,Chicago,Morning
74,Amanda Rodgers,60,Male,IT,3767,2018-03-21,3.0,3,Inactive,Los Angeles,Night
75,Francisco Jones,18,Female,Sales,8622,2023-07-01,1.0,13,Inactive,Chicago,Evening
76,Cameron Butler,31,Female,IT,8032,2023-10-20,4.0,11,Inactive,New York,Morning
77,Victor Nelson,47,Female,Sales,2025,2015-05-14,1.0,5,Active,New York,Night
78,Kathy Thompson,19,Other,HR,4698,2016-02-23,3.0,15,Inactive,Chicago,Night
79,Michele Schmidt,56,Male,HR,5457,2016-05-22,,11,Inactive,Chicago,Evening
80,Mary Singh,39,Other,IT,5562,2019-07-06,,7,Inactive,New York,Evening
81,Julia Stanley,28,Female,HR,2077,2021-07-28,,11,Inactive,Los Angeles,Morning
82,Kevin Price,62,Male,HR,4292,2020-11-12,2.0,7,Active,Los Angeles,Night
83,Jamie Wright,49,Other,Sales,3111,2020-11-02,,3,Active,Chicago,Evening
84,Elaine Payne,18,Female,IT,5470,2017-06-23,3.0,8,Active,Los Angeles,Evening
85,Justin Rodriguez,39,Other,Sales,3115,2020-07-01,4.0,4,Active,Chicago,Evening
86,Chase Taylor,29,Other,IT,9901,2017-10-04,2.0,7,Active,Los Angeles,Evening
87,Dustin Allen,34,Male,IT,8629,2015-01-08,,9,Inactive,Chicago,Morning
88,Lori Bowen,28,Female,Sales,6839,2023-01-07,,4,Active,Los Angeles,Evening
89,Jessica Sanders,41,Male,HR,6828,2024-08-02,1.0,10,Inactive,Chicago,Night
90,Lauren Lee,60,Female,Sales,8710,2020-07-16,2.0,10,Inactive,Los Angeles,Evening
91,Kyle Schwartz,31,Male,HR,3488,2023-03-16,1.0,3,Active,New York,Morning
92,Bruce Campbell,58,Other,IT,5271,2023-12-20,,7,Active,Chicago,Night
93,Peter Moore,38,Other,Sales,4897,2021-03-13,1.0,4,Inactive,Chicago,Morning
94,Elizabeth Gallagher,21,Female,IT,2860,2023-02-06,4.0,4,Active,Los Angeles,Night
95,Michael Garcia,62,Male,Sales,3482,2018-01-29,3.0,20,Active,New York,Night
96,Jeff Wilson,45,Other,HR,3427,2024-06-08,,8,Active,Chicago,Evening
97,Holly Gaines,22,Male,Sales,5432,2017-01-14,,14,Inactive,Los Angeles,Morning
98,Matthew Fields,33,Female,HR,2378,2015-08-07,,20,Inactive,Los Angeles,Night
99,Kathleen Thomas,20,Other,IT,6768,2018-09-15,,2,Inactive,Los Angeles,Night
100,Thomas Hamilton,33,Male,Sales,8076,2017-12-24,,9,Inactive,Chicago,Morning
101,Bryan Navarro,26,Female,IT,9538,2021-01-23,,3,Active,New York,Morning
102,Jennifer Hansen,27,Other,HR,2912,2020-02-22,2.0,3,Inactive,New York,Night
103,James Saunders,34,Other,IT,6742,2019-09-16,,8,Active,Los Angeles,Night
104,Jose Henson,32,Male,HR,6458,2023-03-25,5.0,7,Active,Chicago,Evening
105,Isaiah Sanders DDS,31,Female,HR,2752,2021-04-28,5.0,6,Active,Chicago,Night
106,Katelyn Chavez,25,Other,HR,7371,2015-10-06,,13,Inactive,Chicago,Evening
107,Nancy Robinson,21,Other,Sales,5133,2017-12-19,,11,Active,Los Angeles,Evening
108,Sandra Allen,24,Male,IT,2578,2019-01-05,5.0,16,Active,Chicago,Morning
109,Mrs. Robin Mccarthy PhD,51,Male,HR,7457,2019-04-24,,15,Active,Los Angeles,Night
110,Catherine Ray,58,Female,Sales,7263,2017-12-10,,20,Active,New York,Morning
111,James Johnson,65,Female,HR,2166,2016-08-20,2.0,17,Inactive,New York,Morning
112,Sarah Barrera,31,Female,Sales,2303,2021-10-30,3.0,18,Inactive,Los Angeles,Night
113,Luke Mcpherson,34,Other,IT,9812,2016-01-29,3.0,13,Active,New York,Evening
114,Michael Moore,65,Other,Sales,4940,2021-03-26,2.0,11,Active,Los Angeles,Evening
115,Donna Manning,40,Other,IT,3935,2021-05-10,5.0,19,Inactive,Chicago,Morning
116,John Lloyd,19,Male,HR,3233,2017-05-10,5.0,6,Inactive,Chicago,Evening
117,Sean Owens,45,Male,HR,4012,2016-07-09,,10,Inactive,Los Angeles,Night
118,Gregory Robinson,32,Other,IT,8619,2021-01-16,,8,Inactive,New York,Morning
119,Tara Hudson,48,Female,IT,2898,2022-01-02,,12,Inactive,Los Angeles,Morning
120,Heidi Franklin,22,Male,HR,7187,2024-01-26,,1,Active,New York,Morning
121,David Hampton,39,Female,HR,9941,2024-07-06,3.0,15,Inactive,New York,Morning
122,Jacob Gonzalez,25,Male,IT,5121,2020-06-12,,1,Active,Chicago,Night
123,Kenneth Jensen,46,Other,IT,7991,2017-04-21,,13,Inactive,Los Angeles,Morning
124,Amber Pittman,24,Female,Sales,5287,2018-03-08,2.0,1,Active,New York,Evening
125,William Hall,23,Male,Sales,3754,2022-10-16,,8,Active,Chicago,Evening
126,Michael Wilson,38,Other,IT,2358,2016-12-25,3.0,14,Active,New York,Morning
127,Vanessa Gray,65,Other,Sales,8122,2015-11-27,,15,Active,Los Angeles,Night
128,Ashley Williams,65,Female,HR,9973,2020-05-03,,19,Inactive,New York,Morning
129,Shawn Marshall,28,Other,IT,2488,2019-01-21,,6,Active,Los Angeles,Morning
130,Derrick Woods,64,Female,IT,7378,2019-09-22,,18,Inactive,New York,Evening
131,Lisa Levy,64,Other,IT,7647,2021-07-07,,8,Active,Los Angeles,Evening
132,Amy Patel,38,Other,HR,2052,2020-08-07,,9,Inactive,Chicago,Evening
133,Gregory Villegas,64,Female,Sales,5723,2021-06-26,4.0,19,Inactive,New York,Evening
134,Arthur Tyler,30,Other,Sales,3856,2022-01-19,,13,Inactive,Chicago,Evening
135,Jonathan Schneider,33,Male,Sales,3843,2023-08-03,5.0,18,Inactive,Chicago,Morning
136,Donna Fox,49,Male,Sales,3128,2023-09-29,2.0,6,Inactive,Los Angeles,Morning
137,Rebecca Pitts,56,Female,Sales,8154,2017-06-29,,9,Inactive,Chicago,Morning
138,Annette Peterson,34,Female,Sales,4286,2020-05-17,,7,Active,Chicago,Morning
139,Mr. James Moore,46,Other,Sales,3829,2021-08-21,,11,Inactive,Chicago,Morning
140,William Hernandez,27,Other,IT,8855,2020-11-18,,18,Inactive,Chicago,Morning
141,Kevin Ruiz,18,Male,IT,8733,2020-08-15,,19,Inactive,Chicago,Night
142,Matthew Gutierrez,38,Other,Sales,5883,2024-10-22,4.0,14,Inactive,Chicago,Evening
143,Kelly Phillips,42,Female,Sales,3591,2020-07-17,5.0,20,Inactive,Los Angeles,Morning
144,Dana Potter,46,Male,IT,6368,2024-04-07,,2,Inactive,New York,Evening
145,Kimberly Murphy,25,Other,HR,3003,2019-05-14,1.0,19,Active,New York,Morning
146,Jessica Hernandez,20,Male,IT,4757,2017-07-07,,8,Inactive,Chicago,Morning
147,Rachel Allen,22,Other,IT,8152,2018-01-30,,4,Active,New York,Evening
148,Mr. Brandon Gonzales,37,Female,Sales,6429,2023-09-23,2.0,10,Inactive,Chicago,Morning
149,Matthew Perkins,57,Other,IT,3757,2023-07-12,,19,Inactive,New York,Evening
150,Robert Adkins,28,Female,Sales,8198,2020-10-23,1.0,15,Inactive,New York,Evening
151,Anthony Moran,54,Female,Sales,2364,2017-09-28,,5,Inactive,Chicago,Morning
152,Julie Wilson,58,Male,Sales,2621,2018-08-26,,16,Active,New York,Evening
153,Mark Morris,31,Male,IT,4451,2017-12-31,,1,Inactive,Chicago,Night
154,Charles Marsh,29,Male,HR,4056,2023-11-01,,17,Inactive,New York,Morning
155,Larry Johnson,63,Other,IT,5746,2018-11-20,5.0,5,Inactive,New York,Night
156,Raymond Johnson,56,Female,IT,5982,2016-12-03,5.0,11,Inactive,New York,Morning
157,Pamela Pierce,43,Female,HR,4710,2021-06-26,1.0,16,Active,New York,Night
158,Debra Smith,19,Other,HR,4527,2015-04-28,3.0,14,Active,Chicago,Night
159,Erin Harrison,34,Male,HR,9719,2019-07-31,2.0,2,Inactive,Chicago,Evening
160,Thomas Gordon,26,Male,HR,6157,2018-04-30,,15,Active,New York,Night
161,Cindy Torres,31,Male,IT,8428,2024-09-17,4.0,11,Inactive,New York,Evening
162,Mario Newman,36,Other,IT,3284,2015-04-20,,15,Inactive,Los Angeles,Night
163,Emily Hughes,32,Male,IT,8958,2017-03-15,,17,Active,Los Angeles,Morning
164,Emily Fisher,25,Male,HR,9021,2016-09-15,,11,Inactive,Chicago,Night
165,Sheryl Everett DDS,57,Male,Sales,3479,2017-11-15,,13,Inactive,New York,Morning
166,Caleb Coffey,49,Other,HR,6194,2024-05-12,1.0,19,Inactive,New York,Evening
167,Brianna Murray,28,Other,IT,3862,2018-10-21,,3,Inactive,Chicago,Night
168,Amy Bell,56,Male,IT,6006,2023-10-21,,4,Active,New York,Morning
169,Tonya Estrada,22,Other,Sales,2523,2022-08-10,2.0,4,Inactive,Chicago,Evening
170,George Bowers,24,Other,Sales,6041,2024-12-07,2.0,4,Active,New York,Night
171,Tyler Figueroa,48,Female,Sales,2913,2020-12-04,2.0,6,Active,New York,Evening
172,Roger Pugh,64,Other,HR,6767,2023-04-14,,11,Inactive,Los Angeles,Evening
173,Paul Ross,19,Other,Sales,6735,2022-01-26,,12,Active,Los Angeles,Morning
174,Steven Green,21,Other,IT,4043,2015-10-10,3.0,20,Inactive,Chicago,Morning
175,Amanda Walters,46,Other,Sales,8354,2015-10-26,,10,Active,Los Angeles,Night
176,Cody Sanchez,32,Female,Sales,5224,2019-01-27,,15,Active,Los Angeles,Evening
177,Sherri Hess,37,Female,Sales,6706,2021-05-29,3.0,9,Inactive,Los Angeles,Night
178,David Buchanan,52,Male,Sales,8899,2016-01-12,,17,Active,Chicago,Evening
179,Daniel Hoffman,36,Male,IT,7885,2016-06-04,2.0,2,Inactive,New York,Evening
180,Kathryn Choi,34,Other,IT,3671,2021-05-08,,16,Active,Los Angeles,Night
181,Sharon Patterson,33,Male,HR,6833,2015-02-04,,16,Active,New York,Night
182,Brooke Norris,58,Male,IT,5025,2020-10-24,,13,Inactive,Los Angeles,Night
183,Linda Wilson,45,Male,IT,3979,2024-03-07,3.0,12,Active,New York,Evening
184,Nathaniel Miller,22,Male,Sales,8840,2023-01-17,,17,Active,New York,Evening
185,Michael Edwards,19,Other,Sales,8470,2016-12-20,4.0,1,Inactive,Los Angeles,Evening
186,Jane Gardner,51,Other,Sales,7894,2014-12-29,,11,Inactive,Los Angeles,Night
187,Anthony Lucas,48,Female,HR,3064,2023-08-26,4.0,11,Active,New York,Evening
188,Robert Colon,39,Other,HR,2149,2023-05-10,4.0,17,Active,New York,Night
189,Patrick Williams,50,Other,IT,3737,2021-08-07,,4,Active,New York,Evening
190,Tiffany Hopkins,21,Female,HR,7708,2021-11-10,,20,Active,Los Angeles,Night
191,Miguel Finley,25,Female,IT,9374,2019-08-22,,15,Active,New York,Evening
192,John Sullivan,29,Other,IT,3049,2018-08-29,4.0,2,Inactive,New York,Night
193,Albert Stevens,29,Other,HR,2776,2021-02-24,2.0,1,Active,Chicago,Night
194,Dean Barnes,54,Other,IT,4678,2019-01-18,4.0,6,Active,Chicago,Morning
195,Eric York,34,Male,HR,3397,2022-06-25,4.0,2,Active,Los Angeles,Evening
196,Breanna Ballard,20,Other,Sales,3386,2020-08-31,,1,Inactive,New York,Evening
197,Joshua Booker,22,Male,HR,6539,2022-07-12,,2,Active,Los Angeles,Night
198,Mary King,23,Female,HR,3175,2021-05-21,,9,Active,New York,Evening
199,Jennifer Brown DVM,51,Male,HR,7908,2023-04-14,1.0,2,Inactive,Chicago,Evening
200,Gregory Cohen,23,Other,Sales,8119,2018-01-01,,5,Inactive,Chicago,Morning
201,Mr. James Johnson,48,Female,HR,9930,2019-08-04,5.0,19,Active,Chicago,Morning
202,Elizabeth Jordan,23,Other,HR,3514,2018-10-01,,1,Inactive,Los Angeles,Morning
203,Robert Carey,59,Female,IT,6267,2021-01-12,5.0,6,Inactive,New York,Morning
204,Randy Pace,28,Male,HR,8416,2022-02-21,,8,Active,Los Angeles,Morning
205,Brian Herrera,29,Other,Sales,5703,2018-12-16,2.0,10,Active,New York,Morning
206,Julie Hayden,55,Female,IT,2127,2019-02-09,,8,Active,Los Angeles,Evening
207,Mario Jackson,43,Male,IT,8563,2017-12-28,4.0,11,Active,Los Angeles,Night
208,Dawn Flowers,24,Female,IT,7539,2021-02-05,,5,Active,Los Angeles,Night
209,Darrell Burns,58,Other,Sales,2223,2024-06-29,,8,Active,New York,Morning
210,Mr. Jason Jones,44,Female,HR,3517,2022-01-11,5.0,10,Inactive,Chicago,Morning
211,Joseph Li,42,Male,HR,4603,2016-07-30,2.0,12,Inactive,New York,Night
212,Christopher Barrera,62,Other,HR,4751,2022-10-27,1.0,3,Inactive,New York,Morning
213,Tyler Carroll,54,Female,IT,6942,2021-02-02,3.0,5,Inactive,New York,Morning
214,Rachel Mcdonald,32,Female,Sales,2489,2015-12-11,5.0,3,Inactive,Chicago,Morning
215,Dawn Nelson,65,Female,IT,4538,2016-02-01,3.0,8,Active,Chicago,Morning
216,Sara Jones,50,Female,Sales,9377,2019-10-16,,3,Active,Los Angeles,Morning
217,Alison Anderson,35,Female,Sales,8129,2024-06-29,,3,Inactive,New York,Evening
218,Jeffery Hurley,25,Male,IT,7335,2017-11-05,1.0,3,Active,Los Angeles,Night
219,Melissa Flores,38,Other,Sales,3663,2016-06-14,3.0,3,Inactive,New York,Evening
220,Erika Schneider,20,Other,IT,4328,2018-05-01,2.0,12,Active,Los Angeles,Morning
221,Steven Salinas,48,Female,HR,7067,2023-11-23,,8,Inactive,Los Angeles,Morning
222,Kenneth Taylor,20,Other,Sales,6389,2017-03-05,,6,Inactive,New York,Evening
223,Jennifer Hartman,62,Female,IT,7732,2020-08-20,,18,Active,New York,Morning
224,Cheryl Potter,59,Male,IT,3379,2018-07-30,,8,Inactive,Los Angeles,Morning
225,Lori Rodriguez,27,Other,IT,3660,2023-12-15,,9,Active,Los Angeles,Night
226,Brian White,51,Other,IT,9160,2017-04-27,,15,Inactive,Los Angeles,Night
227,Ashley Robbins,49,Other,HR,8733,2019-02-06,,2,Inactive,Los Angeles,Morning
228,Mary Mcguire,45,Other,IT,8587,2019-01-21,2.0,18,Active,Chicago,Morning
229,Christie Warren,51,Female,Sales,9139,2020-08-16,5.0,1,Active,Chicago,Night
230,Monica Henderson,39,Male,IT,7250,2016-07-11,4.0,1,Active,Chicago,Morning
231,Connie Lucas,41,Other,HR,4782,2015-12-09,4.0,7,Inactive,Los Angeles,Morning
232,William Harris,26,Female,Sales,6975,2016-03-26,,14,Active,New York,Evening
233,Michelle Mendez,50,Male,IT,8718,2024-07-17,1.0,18,Active,Chicago,Morning
234,Richard Mendez,40,Male,Sales,7461,2022-04-13,3.0,7,Inactive,Chicago,Night
235,Stuart Rodriguez,33,Other,Sales,7974,2017-02-15,,7,Active,Los Angeles,Night
236,Curtis Diaz,42,Other,IT,4401,2022-11-17,1.0,9,Inactive,New York,Night
237,Joan Trevino,46,Male,Sales,8607,2019-01-21,5.0,3,Inactive,New York,Night
238,Gregory Pollard,49,Other,HR,3659,2023-01-11,,10,Inactive,Chicago,Morning
239,Lori Petty,65,Other,Sales,6332,2015-05-09,,12,Active,Chicago,Evening
240,Christina Gutierrez,37,Male,Sales,9356,2018-01-02,3.0,3,Active,Chicago,Morning
241,Ashley Kim,33,Male,IT,2996,2023-11-10,,11,Inactive,Chicago,Evening
242,Jennifer Wilson,54,Male,HR,9516,2021-10-19,1.0,8,Inactive,Chicago,Night
243,Scott Russell,35,Other,IT,2847,2020-02-19,,11,Active,Los Angeles,Morning
244,Evan Blackburn,26,Other,HR,8181,2016-02-19,,14,Inactive,Los Angeles,Night
245,Justin Hampton,55,Male,IT,7725,2024-11-22,4.0,10,Inactive,New York,Morning
246,Marie Reese,60,Male,Sales,7911,2019-03-24,,7,Active,Chicago,Evening
247,Sheila Gordon,50,Other,Sales,2550,2021-12-17,,15,Inactive,New York,Evening
248,Jessica Davis,22,Male,IT,2649,2024-09-21,,8,Inactive,Chicago,Night
249,Tyler Carter,65,Female,IT,8882,2018-11-23,,2,Active,New York,Morning
250,David Burke,25,Female,HR,2994,2015-09-21,,14,Active,Chicago,Morning
251,Joshua Bullock,38,Male,Sales,9924,2019-01-10,4.0,20,Inactive,Chicago,Night
252,Gabriel Peters,50,Other,IT,3091,2015-05-15,1.0,16,Active,Los Angeles,Morning
253,Christine Duran,61,Male,IT,3063,2018-03-18,1.0,4,Active,New York,Morning
254,Nancy Mendez,44,Other,HR,5443,2018-04-20,1.0,9,Inactive,Chicago,Evening
255,Susan Fisher,45,Male,HR,9207,2020-01-05,4.0,4,Active,Los Angeles,Morning
256,Meghan Burgess,49,Male,HR,3081,2017-08-23,,5,Inactive,New York,Night
257,Jeffery Jackson,19,Female,IT,4084,2022-08-23,3.0,7,Active,Los Angeles,Night
258,David Tran,18,Other,Sales,4520,2021-01-24,2.0,4,Inactive,New York,Evening
259,Karina Harris,40,Female,HR,4123,2022-10-09,4.0,6,Inactive,New York,Morning
260,Bradley Gibbs,35,Other,IT,9624,2019-03-04,1.0,19,Inactive,Los Angeles,Night
261,Stephen Mitchell,52,Female,IT,4322,2022-07-29,3.0,4,Active,New York,Night
262,Gabriel Warren,18,Other,IT,7774,2015-12-21,,12,Inactive,Los Angeles,Morning
263,James Hines,58,Male,IT,3439,2022-12-13,,16,Active,Los Angeles,Evening
264,Gabriela Wilson,40,Other,Sales,9455,2023-11-19,1.0,14,Active,Los Angeles,Morning
265,Kara Wilson,31,Male,IT,7692,2018-09-01,1.0,19,Inactive,Los Angeles,Night
266,John Butler,65,Other,Sales,8334,2024-05-28,2.0,15,Active,New York,Evening
267,Jared Villanueva,50,Male,IT,5970,2016-06-23,2.0,4,Active,New York,Morning
268,Mary Hammond,19,Other,HR,3504,2020-04-04,,14,Active,Chicago,Night
269,Margaret Mayo,30,Female,HR,4107,2018-12-02,3.0,14,Inactive,Chicago,Night
270,Ray Smith,31,Other,Sales,5819,2023-08-20,,8,Inactive,Los Angeles,Morning
271,Derek Morris,30,Female,IT,5472,2024-01-07,,6,Inactive,New York,Evening
272,Carrie Martinez,65,Other,Sales,2417,2021-06-18,2.0,17,Active,Chicago,Morning
273,Thomas Spence,25,Female,IT,8613,2016-11-20,,3,Inactive,Chicago,Night
274,Carrie Sloan,30,Other,HR,4347,2018-01-16,4.0,6,Inactive,New York,Morning
275,Mrs. Kimberly Woodard MD,48,Female,Sales,7287,2019-03-06,1.0,9,Active,Los Angeles,Night
276,Harry Alexander,22,Male,Sales,9749,2019-05-15,,5,Active,Los Angeles,Morning
277,David Cox,45,Female,IT,4514,2022-06-11,4.0,2,Active,Los Angeles,Morning
278,Sheryl Gray,22,Other,Sales,4226,2024-10-01,,8,Active,Chicago,Morning
279,Michael Bishop,49,Male,IT,7561,2016-12-31,,14,Active,Chicago,Evening
280,Dalton Moore,39,Female,IT,5956,2015-04-16,5.0,16,Inactive,Los Angeles,Morning
281,Caroline Bell,49,Other,IT,2175,2022-05-09,,16,Active,Chicago,Morning
282,Vanessa Shelton,42,Other,Sales,5756,2019-09-12,,13,Active,Chicago,Morning
283,Scott White,45,Other,Sales,4104,2017-09-18,3.0,5,Active,Chicago,Evening
284,Richard Smith,18,Male,Sales,2364,2016-11-27,2.0,12,Active,Los Angeles,Morning
285,Daniel Rodriguez,63,Male,HR,8704,2021-09-28,,10,Inactive,Los Angeles,Morning
286,Mr. Kevin Bradley,29,Female,Sales,2993,2015-02-14,,8,Inactive,Los Angeles,Morning
287,Judith Evans,20,Other,IT,4409,2015-10-30,,20,Inactive,New York,Night
288,Michele Roman,60,Other,HR,3162,2017-06-14,,20,Active,New York,Night
289,Barry Mckenzie,54,Other,Sales,5523,2020-02-21,,9,Inactive,Chicago,Night
290,Sara Stokes,30,Female,IT,9921,2018-10-01,3.0,2,Inactive,New York,Morning
291,Rebecca Bailey,25,Male,IT,7864,2015-12-12,3.0,19,Inactive,Los Angeles,Morning
292,Rachel Sosa,47,Other,IT,8158,2022-02-07,2.0,6,Inactive,Chicago,Night
293,Amy Hubbard,29,Male,HR,5883,2016-06-26,4.0,18,Inactive,New York,Evening
294,Gary Grant,41,Other,IT,3174,2017-09-05,2.0,16,Inactive,New York,Night
295,Kimberly Smith,24,Other,Sales,7332,2020-11-28,2.0,10,Active,New York,Night
296,Jennifer Nichols,21,Other,HR,4009,2015-02-22,2.0,13,Inactive,Los Angeles,Night
297,Rachel Robinson,20,Male,IT,8316,2021-02-09,,5,Inactive,New York,Night
298,Brandon Atkinson,55,Female,Sales,2414,2020-11-02,3.0,4,Active,Chicago,Night
299,Dawn Mclaughlin,45,Male,Sales,2330,2015-07-17,,17,Inactive,New York,Evening
300,Terry Smith,38,Female,Sales,9375,2022-12-23,,2,Inactive,New York,Morning
301,Alejandro Bennett,31,Female,HR,7039,2021-01-26,,18,Active,Chicago,Evening
